,gvkey,data_date,data_year_month,file_year_month,type,international_count,rev_growth_count,rev_slow_count,expense_growth_count,expense_slow_count,lm_positive_count,lm_negative_count,lm_uncertainty_count,lm_litigious_count
0,1045,6/1/2000,2000-06,2000-07,10-Q,14,17,3,14,0,25,135,58,189
1,1045,3/1/2001,2001-03,2001-04,10-Q,15,4,6,11,1,13,122,71,118
2,1045,6/1/2001,2001-06,2001-08,10-Q,14,9,10,20,3,18,159,103,118
3,1045,9/1/2001,2001-09,2001-10,10-Q,17,1,14,24,9,31,230,164,120
4,1045,3/1/2002,2002-03,2002-04,10-Q,8,0,9,11,2,5,121,61,91
5,1045,6/1/2002,2002-06,2002-07,10-Q,19,0,20,7,12,40,373,233,647
6,1045,9/1/2002,2002-09,2002-10,10-Q,34,2,18,8,21,3,142,67,95
7,1045,9/1/2002,2002-09,2002-10,10-Q,34,2,18,8,21,10,201,81,127
8,1045,9/1/2002,2002-09,2002-10,10-Q,34,2,18,8,21,34,283,128,159
9,1045,12/1/2002,2002-12,2003-04,10-K,171,6,28,33,41,294,1767,1036,2863
10,1045,3/1/2003,2003-03,2003-05,10-Q,20,5,5,12,10,24,301,126,183
11,1045,6/1/2003,2003-06,2003-07,10-Q,35,8,8,12,19,51,369,183,192
12,1045,9/1/2003,2003-09,2003-10,10-Q,32,8,8,11,24,73,482,327,643
13,1045,12/1/2003,2003-12,2004-02,10-K,133,6,25,23,45,261,1106,656,1451
14,1045,3/1/2004,2004-03,2004-04,10-Q,21,9,2,5,13,93,451,161,575
15,1045,6/1/2004,2004-06,2004-07,10-Q,22,16,4,15,16,29,275,102,162
16,1045,9/1/2004,2004-09,2004-10,10-Q,23,15,5,16,10,34,273,114,148
17,1045,12/1/2004,2004-12,2005-02,10-K,120,12,12,22,39,437,2153,941,4443
18,1045,3/1/2005,2005-03,2005-04,10-Q,10,6,3,11,4,22,227,88,127
19,1045,6/1/2005,2005-06,2005-07,10-Q,12,17,0,17,6,46,407,182,542
20,1045,9/1/2005,2005-09,2005-10,10-Q,14,18,0,23,7,75,532,237,905
21,1045,12/1/2005,2005-12,2006-02,10-K,125,19,9,36,27,180,732,441,452
22,1045,3/1/2006,2006-03,2006-04,10-Q,26,10,1,15,4,286,1030,275,1752
23,1045,6/1/2006,2006-06,2006-07,10-Q,30,20,2,21,5,21,425,158,490
24,1045,9/1/2006,2006-09,2006-10,10-Q,30,21,2,21,7,23,337,122,410
25,1045,12/1/2006,2006-12,2007-02,10-K,130,28,4,44,21,210,932,592,943
26,1045,3/1/2007,2007-03,2007-04,10-Q,20,9,3,8,5,21,332,129,212
27,1045,6/1/2007,2007-06,2007-07,10-Q,25,9,9,8,8,22,441,178,445
28,1045,10/1/2007,2007-10,2007-10,10-Q,24,13,4,8,9,69,907,236,1453
29,1045,2/1/2008,2008-02,2008-02,10-K,126,31,7,43,25,222,1084,650,770
30,1045,4/1/2008,2008-04,2008-04,10-Q,21,7,3,20,4,36,542,283,620
31,1045,6/1/2008,2008-06,2008-07,10-Q,26,12,6,29,13,27,1201,306,1737
32,1045,10/1/2008,2008-10,2008-10,10-Q,58,15,7,34,23,100,782,318,374
33,1045,12/1/2008,2008-12,2009-02,10-K,141,25,14,46,44,368,2873,1065,3365
34,1045,3/1/2009,2009-03,2009-04,10-Q,25,2,21,8,16,43,411,182,223
