"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-01",101.4254,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-02",101.4053,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-03",101.2415,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-04",100.9669,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-05",100.8047,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-06",100.8426,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-07",101.0443,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-08",101.2123,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-09",101.3864,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-10",101.5254,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-11",101.3335,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-12",100.7217,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-01",99.8495,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-02",99.43626,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-03",99.53142,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-04",99.92767,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-05",100.2159,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-06",100.29,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-07",100.2085,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-08",100.1211,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-09",100.0488,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-10",99.97258,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-11",99.9046,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-12",99.81493,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-01",99.69926,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-02",99.66863,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-03",99.61464,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-04",99.54036,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-05",99.46421,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-06",99.34406,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-07",99.15339,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-08",99.0014,
