date,price,p_change
3/31/2022,421.09,0.59
2/28/2022,418.62,-2.23
1/31/2022,428.16,-2.89
12/31/2021,440.9,3.25
11/30/2021,427.02,-2.76
10/29/2021,439.15,1.94
9/30/2021,430.79,-2.11
8/31/2021,440.06,1.97
7/30/2021,431.58,-1.76
6/30/2021,439.3,1.11
5/31/2021,434.5,1.66
4/30/2021,427.4,1.2
3/31/2021,422.31,2.85
2/26/2021,410.61,2.13
1/29/2021,402.03,0.83
12/31/2020,398.71,3.39
11/30/2020,385.63,11.19
10/30/2020,346.81,-2.36
9/30/2020,355.18,-1.53
8/31/2020,360.69,3.24
7/31/2020,349.36,1.18
6/30/2020,345.28,3.47
5/29/2020,333.71,2.75
4/30/2020,324.77,6.45
3/31/2020,305.09,-13.32
2/28/2020,351.99,-6.93
1/31/2020,378.22,-1.66
12/31/2019,384.6,2.29
11/29/2019,376,1.66
10/31/2019,369.87,1.73
9/30/2019,363.57,2.58
8/30/2019,354.42,-2.54
7/31/2019,363.64,0.04
6/28/2019,363.5,3.97
5/31/2019,349.61,-5.55
4/30/2019,370.14,2.91
3/29/2019,359.69,0.89
2/28/2019,356.52,2.63
1/31/2019,347.4,6.02
12/31/2018,327.68,-5.15
11/30/2018,345.47,0.53
10/31/2018,343.66,-6.91
9/28/2018,369.16,0.37
8/31/2018,367.81,-1.62
7/31/2018,373.87,2.15
6/29/2018,366.02,-0.97
5/31/2018,369.61,-1.28
4/30/2018,374.39,3.17
3/30/2018,362.88,-2.37
2/28/2018,371.7,-3.58
1/31/2018,385.52,2.37
12/29/2017,376.58,1.39
11/30/2017,371.41,-0.66
10/31/2017,373.87,3.11
9/29/2017,362.59,1.97
8/31/2017,355.58,0.26
7/31/2017,354.67,1.49
6/30/2017,349.44,-0.47
5/31/2017,351.1,1.48
4/28/2017,345.96,1.31
3/31/2017,341.48,1.82
2/28/2017,335.38,1.7
1/31/2017,329.78,0.99
12/30/2016,326.55,3.15
11/30/2016,316.58,0.38
10/31/2016,315.37,0.97
9/30/2016,312.33,0.14
8/31/2016,311.88,1.1
7/29/2016,308.47,4.45
6/30/2016,295.34,-2.71
5/31/2016,303.55,0.75
4/29/2016,301.28,0.77
3/31/2016,298.97,3.8
2/29/2016,288.02,-2.83
1/29/2016,296.4,-5.49
12/31/2015,313.63,-2.53
11/30/2015,321.75,0.22
10/30/2015,321.03,6.91
9/30/2015,300.29,-4.36
