gvkey,data_date,file_date,type,international_count,rev_growth_count,rev_slow_count,expense_growth_count, expense_slow_count
1045,2000-06-30,2000-07-28,10-Q,14,17,3,14,0
1045,2001-03-31,2001-04-24,10-Q,15,4,6,11,1
1045,2001-06-30,2001-08-13,10-Q,14,9,10,20,3
1045,2001-09-30,2001-10-25,10-Q,17,1,14,24,9
1045,2002-03-31,2002-04-18,10-Q,8,0,9,11,2
1045,2002-06-30,2002-07-19,10-Q,19,0,20,7,12
1045,2002-09-30,2002-10-18,10-Q,34,2,18,8,21
1045,2002-12-31,2003-04-15,10-K,171,6,28,33,41
1045,2003-03-31,2003-05-15,10-Q,20,5,5,12,10
1045,2003-06-30,2003-07-18,10-Q,35,8,8,12,19
1045,2003-09-30,2003-10-24,10-Q,32,8,8,11,24
1045,2003-12-31,2004-02-27,10-K,133,6,25,23,45
1045,2004-03-31,2004-04-23,10-Q,21,9,2,5,13
1045,2004-06-30,2004-07-22,10-Q,22,16,4,15,16
1045,2004-09-30,2004-10-21,10-Q,23,15,5,16,10
1045,2004-12-31,2005-02-25,10-K,120,12,12,22,39
1045,2005-03-31,2005-04-21,10-Q,10,6,3,11,4
1045,2005-06-30,2005-07-26,10-Q,12,17,0,17,6
1045,2005-09-30,2005-10-21,10-Q,14,18,0,23,7
1045,2005-12-31,2006-02-24,10-K,125,19,9,36,27
1045,2006-03-31,2006-04-20,10-Q,26,10,1,15,4
1045,2006-06-30,2006-07-25,10-Q,30,20,2,21,5
1045,2006-09-30,2006-10-20,10-Q,30,21,2,21,7
1045,2006-12-31,2007-02-23,10-K,130,28,4,44,21
1045,2007-03-31,2007-04-20,10-Q,20,9,3,8,5
1045,2007-06-30,2007-07-24,10-Q,25,9,9,8,8
1045,2007-10-18,2007-10-18,10-Q,24,13,4,8,9
1045,2008-02-20,2008-02-20,10-K,126,31,7,43,25
1045,2008-04-17,2008-04-18,10-Q,21,7,3,20,4
1045,2008-06-30,2008-07-17,10-Q,26,12,6,29,13
1045,2008-10-16,2008-10-16,10-Q,58,15,7,34,23
1045,2008-12-31,2009-02-19,10-K,141,25,14,46,44
1045,2009-03-31,2009-04-16,10-Q,25,2,21,8,16
1045,2009-06-30,2009-07-15,10-Q,52,7,34,15,37
1045,2009-10-21,2009-10-21,10-Q,50,7,32,13,39
1045,2009-12-31,2010-02-17,10-K,176,15,30,38,35
1045,2010-03-31,2010-04-21,10-Q,54,12,3,17,5
1045,2010-06-30,2010-07-21,10-Q,40,21,3,24,5
1045,2010-09-30,2010-10-20,10-Q,44,22,2,21,7
1045,2010-12-31,2011-02-16,10-K,208,24,16,44,31
1045,2011-03-31,2011-04-20,10-Q,43,16,2,19,6
1045,2011-06-30,2011-07-20,10-Q,50,25,2,32,7
1045,2011-09-30,2011-10-19,10-Q,81,27,9,45,20
1045,2011-12-31,2012-02-15,10-K,211,35,14,45,28
1045,2012-03-31,2012-04-19,10-Q,43,9,5,16,10
1045,2012-06-30,2012-07-18,10-Q,56,14,7,19,14
1045,2012-09-30,2012-10-17,10-Q,49,14,8,18,15
1045,2012-12-31,2013-02-20,10-K,218,34,18,48,30
1045,2013-03-31,2013-04-18,10-Q,40,9,4,11,8
1045,2013-06-30,2013-07-18,10-Q,51,7,11,14,11
1045,2013-09-30,2013-10-17,10-Q,92,24,12,34,19
1045,2013-12-31,2014-02-28,10-K,349,28,20,81,45
